Order	Species	Description	Accession ID	ITP Present
Chilo suppressalis	ALM30319	Lepidoptera	no
Plautia stali	BAV78805	Hemiptera	no
Nesidiocoris tenuis	BES91934	Hemiptera	no
Drosophila madeirensis	BFF92544	Diptera	no
Ceratitis capitata	CAD6994269	Diptera	no
Pieris macdunnoughi	CAF4906380	Lepidoptera	no
Colias eurytheme	CAG4972248	Lepidoptera	no
Danaus chrysippus	CAG9561380	Lepidoptera	no
Brenthis ino	CAH0723274	Lepidoptera	no
Nezara viridula	CAH1400795	Hemiptera	no
Iphiclides podalirius	CAH2059693	Lepidoptera	no
Euphydryas editha	CAH2106221	Lepidoptera	no
Pieris brassicae	CAH3994146	Lepidoptera	no
Macrosiphum euphorbiae	CAI6364094	Hemiptera	no
Leptosia nina	CAK1547600	Lepidoptera	no
Parnassius mnemosyne	CAK1579554	Lepidoptera	no
Drosophila ananassae	EDV43680	Diptera	no
Eumeta japonica	GBP53500	Lepidoptera	no
Coptotermes formosanus	GFG31331	Blattodea	no
Gryllus bimaculatus	GLG96828	Orthoptera	no
Aphis craccivora	KAF0766195	Hemiptera	no
Manduca sexta	KAG6453948	Lepidoptera	no
Drosophila birchii	KAH8243774	Diptera	no
Drosophila bunnanda	KAH8264620	Diptera	no
Drosophila ironensis	KAH8271304	Diptera	no
Drosophila jambulina	KAH8292175	Diptera	no
Drosophila immigrans	KAH8310887	Diptera	no
Drosophila pandora	KAH8326644	Diptera	no
Drosophila pseudoananassae	KAH8329748	Diptera	no
Drosophila pseudotakahashii	KAH8356407	Diptera	no
Drosophila setifemur	KAH8382253	Diptera	no
Drosophila rubida	KAH8388503	Diptera	no
Zaprionus bogoriensis	KAH8407926	Diptera	no
Phthorimaea operculella	KAI5637769	Lepidoptera	no
Drosophila gunungcola	KAI8046346	Diptera	no
Diploptera punctata	KAJ9598253	Blattodea	no
Gryllus longicercus	KAK7864952	Orthoptera	no
Rhynocoris fuscipes	KAK9505851	Hemiptera	no
Zootermopsis nevadensis	KDR15011	Blattodea	no
Drosophila simulans	KMZ02989	Diptera	no
Papilio xuthus	KPJ05178	Lepidoptera	no
Drosophila melanogaster	NP_001262668	Diptera	no
Cryptotermes secundus	PNF28222	Blattodea	no
Blattella germanica	PSN32286	Blattodea	no
Sogatella furcifera	QDZ26131	Hemiptera	no
Heortia vitessoides	QKX95852	Lepidoptera	no
Lygus hesperus	QQW38904	Hemiptera	no
Laodelphax striatellus	RZF32562	Hemiptera	no
Cinara cedri	VVC44992	Hemiptera	no
Leptidea sinapis	VVC89799	Lepidoptera	no
Drosophila pseudoobscura	XP_001358326	Diptera	no
Drosophila grimshawi	XP_001994901	Diptera	no
Drosophila sechellia	XP_002041082	Diptera	no
Drosophila virilis	XP_002054410	Diptera	no
Drosophila willistoni	XP_002069674	Diptera	no
Musca domestica	XP_005175926	Diptera	no
Diaphorina citri	XP_008484466	Hemiptera	no
Plutella xylostella	XP_011560290	Lepidoptera	no
Stomoxys calcitrans	XP_013114896	Diptera	no
Drosophila erecta	XP_015009726	Diptera	no
Diuraphis noxia	XP_015365027	Hemiptera	no
Acyrthosiphon pisum	XP_016662241	Hemiptera	no
Drosophila biarmipes	XP_016949850	Diptera	no
Drosophila takahashii	XP_017015578	Diptera	no
Drosophila kikkawai	XP_017023414	Diptera	no
Drosophila ficusphila	XP_017046795	Diptera	no
Drosophila eugracilis	XP_017076592	Diptera	no
Drosophila bipectinata	XP_017105154	Diptera	no
Drosophila elegans	XP_017118661	Diptera	no
Drosophila busckii	XP_017846075	Diptera	no
Drosophila navojoa	XP_017956554	Diptera	no
Drosophila serrata	XP_020813255	Diptera	no
Myzus persicae	XP_022165924	Hemiptera	no
Drosophila obscura	XP_022214735	Diptera	no
Drosophila hydei	XP_023173786	Diptera	no
Cimex lectularius	XP_024086218	Hemiptera	no
Halyomorpha halys	XP_024214295	Hemiptera	no
Melanaphis sacchari	XP_025192931	Hemiptera	no
Sipha flava	XP_025411320	Hemiptera	no
Vanessa tameamea	XP_026485475	Lepidoptera	no
Trichoplusia ni	XP_026731726	Lepidoptera	no
Rhopalosiphum maidis	XP_026821131	Hemiptera	no
Aphis gossypii	XP_027841310	Hemiptera	no
Ostrinia furnacalis	XP_028160674	Lepidoptera	no
Drosophila novamexicana	XP_030573938	Diptera	no
Drosophila guanche	XP_034127042	Diptera	no
Drosophila subobscura	XP_034661289	Diptera	no
Drosophila suzukii	XP_036674397	Diptera	no
Drosophila subpulchrella	XP_037728877	Diptera	no
Nilaparvata lugens	XP_039276961	Hemiptera	no
Aricia agestis	XP_041968405	Lepidoptera	no
Drosophila teissieri	XP_043654221	Diptera	no
Drosophila rhopaloa	XP_044315025	Diptera	no
Colias croceus	XP_045507169	Lepidoptera	no
Maniola jurtina	XP_045767681	Lepidoptera	no
Homalodisca vitripennis	XP_046675161	Hemiptera	no
Vanessa cardui	XP_046968331	Lepidoptera	no
Schistocerca americana	XP_046998725	Orthoptera	no
Schistocerca piceifrons	XP_047098798	Orthoptera	no
Vanessa atalanta	XP_047531861	Lepidoptera	no
Schistocerca cancellata	XP_049766811	Orthoptera	no
Schistocerca nitens	XP_049812599	Orthoptera	no
Schistocerca gregaria	XP_049827523	Orthoptera	no
Schistocerca serialis cubense	XP_049961506	Orthoptera	no
Nymphalis io	XP_050349449	Lepidoptera	no
